Instituição financeira;tx a.m.;tx a.a.;data_i;data_f;segmento;modalidade;tipo_encargo;nome_do_arquivo
BANCOOB;0,75%;9,38%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO SAFRA S.A.;0,87%;10,93%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO ANDBANK S.A.;1,06%;13,47%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO INDUSCRED DE INVESTIM. S/A;1,31%;16,87%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO VOLVO BRASIL S.A.;1,36%;17,58%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO GUANABARA S.A.;1,63%;21,45%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO A.J. RENNER S.A.;1,81%;23,98%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO TRICURY S.A.;1,91%;25,55%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO EST. DE SE S.A.;1,92%;25,64%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO C6 S.A.;2,19%;29,66%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DA AMAZONIA S.A.;2,56%;35,38%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO NORDESTE DO BRASIL S.A.;2,63%;36,60%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO INBURSA;2,68%;37,39%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
HS FINANCEIRA;2,83%;39,75%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
ITAÚ UNIBANCO S.A.;2,87%;40,49%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SIMPALA S.A. CFI;2,97%;42,04%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
PORTOSEG S.A. CFI;2,98%;42,32%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SANTANA S.A. - CFI;3,04%;43,24%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;3,13%;44,68%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
CAIXA ECONOMICA FEDERAL;3,24%;46,63%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO BRASIL S.A.;3,32%;48,01%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
