Instituição financeira;tx a.m.;tx a.a.;data_i;data_f;segmento;modalidade;tipo_encargo;nome_do_arquivo
BANCOOB;0,75%;9,38%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SAFRA S.A.;0,86%;10,80%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO INDUSCRED DE INVESTIM. S/A;1,03%;13,13%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO ANDBANK S.A.;1,06%;13,48%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO VOLVO BRASIL S.A.;1,37%;17,79%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SOFISA S.A.;1,50%;19,56%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO BS2 S.A.;1,50%;19,56%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO GUANABARA S.A.;1,63%;21,45%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO INTER;1,75%;23,17%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO TRICURY S.A.;1,80%;23,87%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO A.J. RENNER S.A.;1,81%;23,98%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO EST. DE SE S.A.;2,12%;28,69%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO C6 S.A.;2,15%;29,02%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO ESTADO DO RS S.A.;2,30%;31,42%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DA AMAZONIA S.A.;2,33%;31,90%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO NORDESTE DO BRASIL S.A.;2,48%;34,14%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO INBURSA;2,52%;34,77%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
HS FINANCEIRA;2,83%;39,75%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
ITAÚ UNIBANCO S.A.;2,89%;40,77%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SANTANA S.A. - CFI;3,04%;43,24%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;3,12%;44,51%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SIMPALA S.A. CFI;3,21%;46,08%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
CAIXA ECONOMICA FEDERAL;3,24%;46,69%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO BRASIL S.A.;3,34%;48,32%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
