Textbox15,Textbox4,Textbox10
07/05/2020 a 13/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BNP PARIBAS BRASIL S A,"   0,53","     6,50"
2,BANCOOB,"   0,75","     9,38"
3,BCO SAFRA S.A.,"   0,87","    10,91"
4,BCO ANDBANK S.A.,"   1,06","    13,45"
5,BCO VOLVO BRASIL S.A.,"   1,22","    15,70"
6,BCO INDUSCRED DE INVESTIM. S/A,"   1,31","    16,87"
7,BANCO INTER,"   1,75","    23,19"
8,BCO MÁXIMA S.A.,"   1,90","    25,32"
9,BCO TRICURY S.A.,"   1,91","    25,55"
10,BCO DO EST. DE SE S.A.,"   1,95","    26,11"
11,BCO C6 S.A.,"   1,95","    26,14"
12,BCO A.J. RENNER S.A.,"   2,11","    28,46"
13,BCO DA AMAZONIA S.A.,"   2,39","    32,78"
14,BANCO INBURSA,"   2,65","    36,94"
15,HS FINANCEIRA,"   2,70","    37,67"
16,ITAÚ UNIBANCO S.A.,"   2,79","    39,05"
17,PORTOSEG S.A. CFI,"   2,91","    41,06"
18,SIMPALA S.A. CFI,"   2,91","    41,14"
19,SANTANA S.A. - CFI,"   3,04","    43,24"
20,BCO SANTANDER (BRASIL) S.A.,"   3,14","    44,85"
21,CAIXA ECONOMICA FEDERAL,"   3,22","    46,23"
22,NU FINANCEIRA S.A. CFI,"   3,49","    50,85"
23,BCO DO BRASIL S.A.,"   3,49","    50,96"
24,BCO DO NORDESTE DO BRASIL S.A.,"   3,66","    53,93"
25,BANCO ORIGINAL,"   3,72","    54,97"
26,SINOSSERRA S/A - SCFI,"   3,76","    55,78"
27,BCO DO EST. DO PA S.A.,"   3,83","    57,03"
28,AYMORÉ CFI S.A.,"   3,88","    57,94"
29,BCO BANESTES S.A.,"   3,97","    59,61"
30,BRB - BCO DE BRASILIA S.A.,"   4,03","    60,57"
31,FINANC ALFA S.A. CFI,"   4,03","    60,59"
32,BCO DO ESTADO DO RS S.A.,"   4,03","    60,61"
33,OMNI SA CFI,"   4,10","    61,87"
34,OMNI BANCO S.A.,"   4,23","    64,38"
35,BCO BRADESCO S.A.,"   4,72","    73,93"
36,BV FINANCEIRA S.A. CFI,"   4,90","    77,52"
37,CENTROCRED S.A. CFI,"   5,72","    94,93"
38,SOROCRED CFI S.A.,"   6,24","   106,79"
39,BCO LOSANGO S.A.,"   6,51","   113,25"
40,BANCO DIGIO,"   6,58","   114,82"
41,GOLCRED S/A - CFI,"   7,96","   150,66"
42,KREDILIG S.A. - CFI,"   8,01","   152,10"
43,ZEMA CFI S/A,"   8,39","   162,89"
44,BCO MERCANTIL DO BRASIL S.A.,"   8,86","   177,05"
45,FINAMAX S.A. CFI,"   9,15","   185,96"
46,GAZINCRED S.A. SCFI,"  10,28","   223,41"
47,SENFF S.A. - CFI,"  10,32","   225,02"
48,BANCO TOPÁZIO S.A.,"  11,24","   258,93"
49,CREDIARE CFI S.A.,"  11,58","   272,33"
50,PORTOCRED S.A. - CFI,"  11,99","   289,25"
51,BANCO SEMEAR,"  12,06","   291,96"
52,LEBES FINANCEIRA CFI SA,"  12,27","   301,16"
53,VIA CERTA FINANCIADORA S.A. - CFI,"  12,93","   330,07"
54,LECCA CFI S.A.,"  13,01","   333,94"
55,NEGRESCO S.A. - CFI,"  13,31","   348,00"
56,BCO AGIBANK S.A.,"  13,40","   352,02"
57,REALIZE CFI S.A.,"  13,97","   380,47"
58,AGORACRED S/A SCFI,"  16,01","   493,94"
59,BANCOSEGURO S.A.,"  16,70","   538,02"
60,BCO DAYCOVAL S.A,"  17,70","   606,98"
61,FACTA S.A. CFI,"  18,75","   686,02"
62,BCO BMG S.A.,"  19,62","   758,09"
63,CREFISA S.A. CFI,"  21,73","   958,98"
64,JBCRED S.A. SCFI,"  26,72"," 1.613,99"

