Textbox15,Textbox4,Textbox10
20/05/2020 a 26/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,28","     3,42"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,35","     4,22"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,42","     5,20"
4,BCO HONDA S.A.,"   0,43","     5,23"
5,BCO CITIBANK S.A.,"   0,56","     6,89"
6,BCO ABC BRASIL S.A.,"   0,60","     7,42"
7,BCO RABOBANK INTL BRASIL S.A.,"   0,62","     7,75"
8,BCO SAFRA S.A.,"   0,87","    10,95"
9,BCO DO BRASIL S.A.,"   0,87","    10,99"
10,BCO FIBRA S.A.,"   0,91","    11,44"
11,BCO ALFA DE INVESTIMENTO S.A.,"   0,93","    11,73"
12,ITAÚ UNIBANCO S.A.,"   0,97","    12,23"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO BS2 S.A.,"   1,10","    14,03"
15,BCO SANTANDER (BRASIL) S.A.,"   1,11","    14,09"
16,BCO ALFA S.A.,"   1,13","    14,41"
17,BCO VOLVO BRASIL S.A.,"   1,17","    15,01"
18,BCO PINE S.A.,"   1,18","    15,13"
19,BCO SOFISA S.A.,"   1,22","    15,72"
20,BCO INDUSTRIAL DO BRASIL S.A.,"   1,26","    16,23"
21,BCO DO EST. DE SE S.A.,"   1,29","    16,60"
22,BCO DAYCOVAL S.A,"   1,30","    16,74"
23,BCO BRADESCO S.A.,"   1,31","    16,85"
24,AMAGGI S.A. CFI,"   1,31","    16,91"
25,CAIXA ECONOMICA FEDERAL,"   1,39","    18,02"
26,BCO DO ESTADO DO RS S.A.,"   1,44","    18,74"
27,BANCO INBURSA,"   1,50","    19,56"
28,BCO DO EST. DO PA S.A.,"   1,54","    20,16"
29,BANCO BTG PACTUAL S.A.,"   1,56","    20,39"
30,BANCO SEMEAR,"   1,61","    21,18"
31,FINANC ALFA S.A. CFI,"   2,00","    26,82"
32,BCO RENDIMENTO S.A.,"   2,01","    26,94"
33,BCO MUFG BRASIL S.A.,"   2,03","    27,24"
34,BCO ARBI S.A.,"   2,20","    29,84"
35,BCO TRIANGULO S.A.,"   2,26","    30,76"
36,BCO INDUSCRED DE INVESTIM. S/A,"   2,31","    31,57"
37,GOLCRED S/A - CFI,"   2,44","    33,48"
38,BRB - BCO DE BRASILIA S.A.,"   2,53","    34,97"
39,SENFF S.A. - CFI,"   2,68","    37,28"
40,BCO DA AMAZONIA S.A.,"   2,88","    40,58"
41,BCO MERCANTIL DO BRASIL S.A.,"   3,01","    42,81"
42,BRK S.A. CFI,"   3,02","    42,84"
43,PORTOSEG S.A. CFI,"   3,09","    44,01"
44,BCO BANESTES S.A.,"   3,10","    44,23"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   3,42","    49,64"
46,BANCO TOPÁZIO S.A.,"   7,99","   151,55"

