Textbox15,Textbox4,Textbox10
07/05/2020 a 13/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BCO ABC BRASIL S.A.,"   0,62","     7,71"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,65","     8,04"
4,SOROCRED CFI S.A.,"   0,65","     8,08"
5,BCO VOTORANTIM S.A.,"   0,65","     8,13"
6,BANCOOB,"   0,74","     9,26"
7,BCO ALFA DE INVESTIMENTO S.A.,"   0,81","    10,20"
8,BCO SOCIETE GENERALE BRASIL,"   0,82","    10,23"
9,BCO DO BRASIL S.A.,"   0,91","    11,50"
10,BRB - BCO DE BRASILIA S.A.,"   0,95","    12,02"
11,BCO SOFISA S.A.,"   0,98","    12,47"
12,BCO DO NORDESTE DO BRASIL S.A.,"   0,99","    12,54"
13,CAIXA ECONOMICA FEDERAL,"   1,04","    13,27"
14,BCO VOLVO BRASIL S.A.,"   1,05","    13,31"
15,BCO TRIANGULO S.A.,"   1,07","    13,57"
16,BCO INDUSTRIAL DO BRASIL S.A.,"   1,13","    14,44"
17,ITAÚ UNIBANCO S.A.,"   1,18","    15,07"
18,BCO SAFRA S.A.,"   1,22","    15,68"
19,BCO DAYCOVAL S.A,"   1,24","    15,92"
20,BCO DES. DE MG S.A.,"   1,31","    16,85"
21,BCO ARBI S.A.,"   1,35","    17,46"
22,BCO DO EST. DE SE S.A.,"   1,41","    18,26"
23,BCO DA AMAZONIA S.A.,"   1,42","    18,37"
24,BCO DO EST. DO PA S.A.,"   1,44","    18,67"
25,BCO GUANABARA S.A.,"   1,46","    18,96"
26,BCO RIBEIRAO PRETO S.A.,"   1,50","    19,56"
27,BCO SANTANDER (BRASIL) S.A.,"   1,56","    20,42"
28,FACTA S.A. CFI,"   1,57","    20,58"
29,BCO MERCANTIL DO BRASIL S.A.,"   1,63","    21,43"
30,BCO BRADESCO S.A.,"   1,65","    21,69"
31,BCO MAXINVEST S.A.,"   1,65","    21,71"
32,BCO PINE S.A.,"   1,69","    22,20"
33,BANCO SEMEAR,"   1,79","    23,68"
34,CARUANA SCFI,"   1,80","    23,87"
35,BCO BANESTES S.A.,"   1,81","    23,94"
36,GOLCRED S/A - CFI,"   1,95","    26,09"
37,PORTOCRED S.A. - CFI,"   2,00","    26,82"
38,BCO DO ESTADO DO RS S.A.,"   2,06","    27,75"
39,SIMPALA S.A. CFI,"   2,19","    29,71"
40,PORTOSEG S.A. CFI,"   2,28","    31,06"
41,BANCO TOPÁZIO S.A.,"   2,54","    35,10"
42,SOCINAL S.A. CFI,"   2,60","    36,07"
43,SENFF S.A. - CFI,"   2,81","    39,39"
44,VIA CERTA FINANCIADORA S.A. - CFI,"   3,44","    50,08"
45,OMNI BANCO S.A.,"   4,13","    62,47"

