Textbox15,Textbox4,Textbox10
25/05/2020 a 29/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,52","     6,45"
2,CARUANA SCFI,"   0,65","     8,06"
3,BANCOOB,"   0,65","     8,13"
4,BCO CITIBANK S.A.,"   0,74","     9,23"
5,BCO SOCIETE GENERALE BRASIL,"   0,78","     9,80"
6,BCO VOLKSWAGEN S.A,"   0,89","    11,22"
7,BCO C6 S.A.,"   0,90","    11,35"
8,BCO CATERPILLAR S.A.,"   0,93","    11,75"
9,BCO DO BRASIL S.A.,"   0,95","    12,00"
10,BCO INDUSTRIAL DO BRASIL S.A.,"   0,99","    12,60"
11,BCO MERCANTIL DO BRASIL S.A.,"   1,01","    12,87"
12,BRB - BCO DE BRASILIA S.A.,"   1,02","    12,95"
13,BCO DO NORDESTE DO BRASIL S.A.,"   1,03","    13,11"
14,ITAÚ UNIBANCO S.A.,"   1,05","    13,29"
15,BCO VOLVO BRASIL S.A.,"   1,09","    13,82"
16,CAIXA ECONOMICA FEDERAL,"   1,12","    14,32"
17,BCO SANTANDER (BRASIL) S.A.,"   1,14","    14,50"
18,BCO BMG S.A.,"   1,21","    15,47"
19,BCO DAYCOVAL S.A,"   1,23","    15,81"
20,BCO RIBEIRAO PRETO S.A.,"   1,24","    15,89"
21,BCO DA AMAZONIA S.A.,"   1,28","    16,51"
22,BCO PINE S.A.,"   1,28","    16,54"
23,BCO DES. DE MG S.A.,"   1,30","    16,82"
24,BCO TRIANGULO S.A.,"   1,32","    17,02"
25,BCO TRICURY S.A.,"   1,45","    18,86"
26,BCO DO EST. DE SE S.A.,"   1,46","    18,99"
27,BCO GUANABARA S.A.,"   1,47","    19,16"
28,BCO BRADESCO S.A.,"   1,50","    19,52"
29,BCO SAFRA S.A.,"   1,50","    19,53"
30,BCO PAULISTA S.A.,"   1,53","    20,03"
31,BCO DO EST. DO PA S.A.,"   1,78","    23,58"
32,BCO DO ESTADO DO RS S.A.,"   2,01","    26,90"
33,BCO MAXINVEST S.A.,"   2,15","    29,06"
34,BANCO TOPÁZIO S.A.,"   2,16","    29,23"
35,SANTANA S.A. - CFI,"   2,19","    29,67"
36,SIMPALA S.A. CFI,"   2,19","    29,71"
37,BCO BANESTES S.A.,"   2,67","    37,14"
38,PORTOSEG S.A. CFI,"   2,93","    41,34"
39,SOCINAL S.A. CFI,"   3,00","    42,58"
40,OMNI BANCO S.A.,"   3,21","    46,04"
41,BCO RENDIMENTO S.A.,"   3,50","    51,11"
42,OMNI SA CFI,"   3,61","    53,05"
43,BANCO INBURSA,"   4,76","    74,78"

