Textbox15,Textbox4,Textbox10
11/05/2020 a 15/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,28","     3,42"
2,BCO J.P. MORGAN S.A.,"   0,33","     3,97"
3,BCO CITIBANK S.A.,"   0,56","     6,98"
4,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,05"
5,BCO MERCEDES-BENZ S.A.,"   0,59","     7,29"
6,BCO SANTANDER (BRASIL) S.A.,"   0,69","     8,54"
7,BCO VOTORANTIM S.A.,"   0,71","     8,88"
8,BANCO BTG PACTUAL S.A.,"   0,72","     9,03"
9,BCO BRADESCO S.A.,"   0,84","    10,53"
10,BCO SAFRA S.A.,"   0,96","    12,09"
11,BCO INDUSTRIAL DO BRASIL S.A.,"   0,96","    12,15"
12,BCO FIBRA S.A.,"   1,05","    13,36"
13,BCO ABC BRASIL S.A.,"   1,05","    13,38"
14,ITAÚ UNIBANCO S.A.,"   1,09","    13,95"
15,BCO DO BRASIL S.A.,"   1,21","    15,54"
16,HS FINANCEIRA,"   1,23","    15,85"
17,BCO DAYCOVAL S.A,"   1,24","    15,98"
18,BCO BS2 S.A.,"   1,26","    16,24"
19,BCO DO ESTADO DO RS S.A.,"   1,28","    16,52"
20,BCO SOFISA S.A.,"   1,55","    20,22"
21,CAIXA ECONOMICA FEDERAL,"   1,61","    21,08"
22,OMNI BANCO S.A.,"   1,68","    22,14"
23,BANCO MONEO S.A.,"   1,72","    22,67"
24,BCO RIBEIRAO PRETO S.A.,"   1,78","    23,54"
25,BCO BANESTES S.A.,"   1,81","    24,06"
26,BCO DO NORDESTE DO BRASIL S.A.,"   1,86","    24,70"
27,BANCO RANDON S.A.,"   1,86","    24,77"
28,SANTINVEST S.A. - CFI,"   1,90","    25,32"
29,BCO RENDIMENTO S.A.,"   2,00","    26,77"
30,BCO BNP PARIBAS BRASIL S A,"   2,05","    27,54"
31,BANCO ORIGINAL,"   2,08","    28,08"
32,BCO MAXINVEST S.A.,"   2,10","    28,34"
33,BCO DA AMAZONIA S.A.,"   2,20","    29,79"
34,BCO LUSO BRASILEIRO S.A.,"   2,28","    31,06"
35,CARUANA SCFI,"   2,57","    35,59"
36,BCO TRIANGULO S.A.,"   2,74","    38,25"
37,BRB - BCO DE BRASILIA S.A.,"   3,06","    43,59"
38,BCO MERCANTIL DO BRASIL S.A.,"   3,08","    43,84"
39,SANTANA S.A. - CFI,"   3,09","    44,12"
40,BCO CAPITAL S.A.,"   3,10","    44,31"
41,GAZINCRED S.A. SCFI,"   3,62","    53,14"
42,BCO DO EST. DE SE S.A.,"   3,68","    54,32"
43,BIORC FINANCEIRA - CFI S.A.,"   3,73","    55,18"
44,BCO CREFISA S.A.,"   3,81","    56,58"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   4,77","    74,93"
46,FINAMAX S.A. CFI,"   7,76","   145,07"
47,BANCO DIGIO,"  10,39","   227,48"

