tipoPessoa;modalidade;encargo;periodoInicial;temos;ignorar
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;25/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;25/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;25/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;25/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;22/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;22/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;22/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;22/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;21/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;21/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;21/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;21/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;20/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;20/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;20/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;20/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;19/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;19/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;19/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;19/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;18/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;18/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;18/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;18/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;15/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;15/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;15/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;15/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;14/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;14/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;14/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;14/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;13/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;13/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;13/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;13/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;12/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;12/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;12/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;12/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;11/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;11/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;11/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;11/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;08/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;08/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;08/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;08/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;07/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;07/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;07/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;07/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;06/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;06/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;06/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;06/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;05/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;05/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;05/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;05/05/2020;True;False
Pessoa física;Crédito pessoal não-consignado;Pré-fixado;04/05/2020;True;False
Pessoa jurídica;Desconto de duplicatas;Pré-fixado;04/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo superior a 365 dias;Pré-fixado;04/05/2020;True;False
Pessoa jurídica;Capital de giro com prazo até 365 dias;Pré-fixado;04/05/2020;True;False
